GVAL,-18.855606,318.042381,178.645180
GYEC,-2.149357,280.108135,35.217600
GZEC,-3.401194,281.418933,883.921670
HER2,29.092547,249.032785,186.955880
HUEH,15.318142,268.497308,1878.180720
HV01,-12.786508,285.032264,3720.701800
IACR,-18.479748,289.667148,46.056790
IBAG,4.428044,284.785276,1216.091530
IBEC,0.350157,281.884314,2246.207930
ICAM,19.853457,269.472527,2.600490
ICEP,19.033023,261.812402,2150.333480
IDGO,24.067453,255.392922,1863.123170
IFSC,-27.594431,311.457916,26.452860
IGM0,-34.572198,301.560634,48.800860
IGM1,-34.572244,301.560681,50.691800
IGN1,8.984886,280.464245,47.578440
ILHA,-20.427784,308.656615,375.052890
IMBT,-28.234839,311.344278,31.382400
IMPZ,-5.491766,312.502765,105.011830
INEG,21.856154,257.715798,1888.320490
IPAZ,24.145273,249.669255,-14.846100
IQQE,-20.273542,289.868285,38.947240
IQUI,-3.767346,286.731291,122.129460
ISCO,5.544343,272.944169,10.372740
ITAM,-3.125369,301.568935,12.627510
JAMA,17.939023,283.219128,-2.934510
JAMG,-15.362705,316.233148,475.228790
JBAL,-27.584408,294.377250,409.185420
KOUG,5.098471,307.360250,107.245000
KOUR,5.252181,307.194040,-25.761120
KYW1,24.582272,278.346967,-13.780370
LB01,-6.778934,280.128788,42.528810
LHCL,-38.002660,294.404753,404.537900
LI01,-12.103017,282.983060,157.635570
LIBE,10.630613,274.562117,163.796900
LIMN,9.993092,276.973632,25.058890
LJEC,-3.988260,280.801462,2143.514020
LMMF,14.594817,299.003824,-27.126660
LPAZ,24.138798,249.680654,-6.829250
LPGS,-34.906746,302.067700,29.863810
MA01,-38.951049,291.942648,323.470420
MABA,-5.362378,310.877702,79.811940
MABB,-4.240958,315.184277,6.595590
MABS,-7.533814,313.960283,226.880430
MAEC,-2.304609,281.881984,1060.399650
MANA,12.148938,273.751006,71.051280
MAPA,0.046686,308.902663,-4.226100
MARA,10.673978,288.375569,28.386090
MCL1,-16.720394,316.118683,656.482660
MCLA,-16.720395,316.118684,656.538180
MD01,-12.593352,290.814127,232.730080
MDO1,30.680511,255.985008,2004.492260
MEDE,6.199404,284.421083,1553.425680
MERI,20.980045,270.379683,7.871200
MEXI,32.632991,244.524297,-22.445220
MGBH,-19.941900,316.075103,974.837910
MGIN,-22.318561,313.671976,883.699720
MGMC,-16.716391,316.141683,618.145780
MGRP,-19.209860,313.867448,1123.468110
MGUB,-18.919162,311.743950,869.228830
MGUE,-35.777351,290.602073,1553.703220
MGV1,-21.542621,314.565006,957.191120
MGVA,-21.542622,314.565007,957.225880
MPL2,-38.005767,302.428703,53.581770
MRLS,15.462249,271.150268,46.330240
MSAQ,-20.452941,304.328835,188.121740
MSCG,-20.440900,305.459297,676.482830
MSDR,-22.194105,305.069598,478.608980
MTBA,-15.889970,307.735268,322.839580
MTCN,-13.555826,307.728643,423.219900
MTCO,-10.803864,304.543737,307.211160
MTJI,-11.448743,301.276415,328.270170
MTNX,-14.697531,307.650791,299.028000
MTSF,-11.619279,309.336493,181.834050
MTSR,-12.545233,304.272587,391.663350
MTV1,-34.913589,303.823699,40.722960
MTVB,-15.006425,300.048444,219.630750
MTY2,25.715507,259.687094,521.747560
MZAC,-32.895153,291.124426,859.842370
MZAE,-33.254843,291.849939,635.736240
MZAL,-32.720714,291.404776,635.534600
MZAS,-34.614903,291.665485,729.367000
MZAU,-33.735956,290.881584,1056.978640
MZGA,-34.978433,292.303831,504.310480
MZRF,-34.612377,291.668512,730.179660
MZSR,-34.615471,291.665687,730.601160
NARA,17.226762,269.189998,73.397180
NAS0,25.052539,282.537744,-21.238850
NAUS,-3.022919,299.944983,93.901610
NEIA,-25.020239,312.075031,6.057450
NEIL,8.644353,277.055610,66.525760
NESA,-40.105392,295.545995,83.095420
NEVA,2.937300,284.706968,472.744450
NJEC,-2.675162,280.379151,51.349080
NYCO,10.144006,274.544988,155.560010
OAX2,17.078340,263.283261,1607.253800
OHI2,-63.321081,302.098666,32.460050
OHI3,-63.321091,302.098618,32.622530
ONEC,-0.697350,279.898494,41.216660
ONRJ,-22.895700,316.775668,35.624330
OSOR,-40.597245,286.896381,84.309810
OURI,-22.949173,310.104959,444.875170
PAAT,-3.200982,307.818692,162.531670
PAIT,-4.287656,303.963644,9.180530
PALM,-64.775091,295.948876,31.032120
PALV,-64.775089,295.948880,31.099670
PAMP,7.384183,287.352220,2366.637540
PARA,-25.448369,310.769045,925.749870
PARC,-53.136955,289.120118,22.284900
PASM,-2.427966,305.271098,24.103980
PBCG,-7.213677,324.092862,534.084930
